id,text,coding,sentiment
"""1465718811781480457""","Friendly reminder that if you have symptoms, a negative lateral flow test isn't enough to rule out covid infection, even if you're double vaccinated, so going out when you're feeling like shit and saying it's fine because your LFT was negative is super irresponsible ",,
"""1465718833046511616""","The #majormarkets saw turbulence last week. The losses on Friday were fueled by light trading volume &amp; negative headlines around the latest variation of the #COVID virus. In economic news, #Biden reaffirmed Jerome Powell as Chair of the Federal Reserve. https://t.co/qT0oYS5UDx",,
"""1465718836603371520""",Want to fight Covid? Lose weight. Get stronger. Get in shape. Get sunshine and outdoors.,,
"""1465718831624695897""","New study led by @LivUni aims to understand why #COVID19 #vaccines can lead to very rare blood clotting with low platelets. @jonathanasterne, Rachel Denholm and Venexia Walker are contributing by analysing large datasets including most people in Englandhttps://t.co/C1ydosUGMq https://t.co/Ye8hVZCmn1",,
"""1465718843817533444""",WTH @whchomecare absolutely disgusting! Your management telling staff to cancel vaccine booster appointments because they cant have the time off to get it! #basichumanrights #lutonbranch,,
"""1465718845474324495""",And world wide mass murder continues:https://t.co/Xl9GhSmhbZ,,
"""1465718849316216835""","NEW - Over 150,000 vaccine appointments for children have been booked and over 86,000 children under 12 have received their first shot, says Health Minster Elliott.",,
"""1465718856190676997""",I cannot lose anymore family members to covid. like jesus just gone have to take me with them atp lmfao,,
"""1465718856853463041""","If you dont know enough about it / surely masking up is prudent? What is the issue @BorisJohnson ? They are cheap, we all have them pretty much yet you are so reluctant to push them? Its not to appease anti vax &amp; nutter right wingers is it? #MaskUp #BorisOut #COVID19 #Variant",,
"""1465718856266051586""",I thought I was getting better and then this shit came back with avengeance. I guess I should schedule a Covid test,,
"""1465718844165537794""","@TwitterSupport, reinstate Joe Vipond's Twitter account. This physician has been a voice for common sense measures to protect Alberta citizens from COVID during a time when our provincial government has been negligent. We desperately need to hear his voice.",,
"""1465718856584990725""",Dow Jones Sells Off As Moderna CEO Expects Less Effective Vaccines For Omicron - Investor's Business Daily https://t.co/HUlq8UNBAC via @GoogleNews,,
"""1465718867049730048""",Indeed @marjetajager '#COVID19 has exposed vulnerabilities and demonstrated how clean #water &amp; #soap are critical for our #health.' Great that there will be water-related programmes in 65 EU partner countries. We expect they enable + EU funding for hand hygiene. @EP_Development https://t.co/J6YcikH8q8,,
"""1465718868442169344""","#Pune | Earlier the state govt had announced to reopen the schools from Dec 1, however, after Mumbai now Pune becomes the second municipal corporation in the state to postpone the reopening of schools.https://t.co/PcCdQJ6nUw",,
"""1465718868693774341""","Three months from now, what % of US population has had COVID shots?A. No shotB. One shotC. Two shots D. Two shots plus booster(s)Im particularly interested in where C settles, those who said Ill get vaccinated but this is not going to become a ritual.",,
"""1465718869943885835""","Bidens Administration screwed up gas prices and the energy sector, crashed the supply chain, failed border security, pushing COVID fears, and now is trying to crash the stock market to decimate 401K and retirement accounts!  Good job Democrats!",,
"""1465718868614254596""","My mates are doing NYSC, God abeg. I'm happy for my friends but I'm sad for myself. This new covid stuff better not fuck me up.",,
"""1465718871038611461""","#WearADamnMask until we know what #Omicron does. Signs are very promising this could be the holy grail of variants, that's dominant but also pretty harmless. 3 weeks will tell us that.If it is as mild as suggested then let's go! Vaccine + covid = up to 10x more antibodies.",,
"""1465718871948767239""",will there be another covid vaccine,,
"""1465718875937464323""",What Lies Ahead For Carnival Stock As Concerning New Covid StrainEmerges https://t.co/D5uhBDRkVB,,
"""1465718875568365577""",So is this the 3rd December with Covid? I've lost count at this point.,,
